,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80
v,0.2679,0.3141,0.3145,0.3143,0.3145,0.3145,0.3149,0.3142,0.3142,0.3149,0.3122,0.2757,0.3412,0.3436,0.3445,0.3455,0.3462,0.3466,0.3472,0.3477,0.3483,0.3488,0.2630,0.3736,0.3750,0.3754,0.3757,0.3759,0.3763,0.3766,0.3768,0.3772,0.3773,0.2744,0.1054,0.1012,0.1000,0.1006,0.1008,0.0994,0.1011,0.1015,0.1030,0.1043,0.3118,0.2938,0.2800,0.2699,0.2676,0.2715,0.2816,0.2978,0.3170,0.3399,0.3575,0.3693,0.3707,0.3640,0.3496,0.3311,0.3145,0.3489,0.3641,0.3695,0.3718,0.3744,0.3709,0.3371,0.3086,0.2780,0.2076,0.1334,0.1876,0.2184,0.3488,0.3774,0.1045,0.3125,0.2682,0.3145
u',0.2006,0.1992,0.2006,0.2002,0.1995,0.1984,0.1977,0.1981,0.1976,0.1975,0.1996,0.1898,0.4321,0.4406,0.4442,0.4455,0.4465,0.4477,0.4489,0.4500,0.4513,0.4522,0.1979,0.1218,0.1212,0.1215,0.1218,0.1224,0.1225,0.1232,0.1239,0.1253,0.1258,0.1938,0.1837,0.1837,0.1839,0.1838,0.1830,0.1827,0.1829,0.1816,0.1811,0.1805,0.2572,0.2538,0.2436,0.2273,0.2079,0.1878,0.1669,0.1476,0.1355,0.1311,0.1382,0.1567,0.1826,0.2108,0.2354,0.2529,0.1983,0.4527,0.2674,0.2132,0.1885,0.1564,0.1273,0.1341,0.1398,0.1437,0.1574,0.2127,0.2733,0.3084,0.4522,0.1258,0.1802,0.1995,0.2021,0.1985
v',0.4019,0.4711,0.4718,0.4714,0.4718,0.4718,0.4723,0.4713,0.4713,0.4724,0.4683,0.4136,0.5119,0.5154,0.5168,0.5183,0.5192,0.5199,0.5207,0.5215,0.5224,0.5232,0.3946,0.5605,0.5625,0.5630,0.5636,0.5639,0.5645,0.5649,0.5652,0.5658,0.5660,0.4116,0.1582,0.1518,0.1501,0.1509,0.1512,0.1491,0.1516,0.1523,0.1546,0.1565,0.4677,0.4407,0.4200,0.4049,0.4014,0.4072,0.4223,0.4467,0.4755,0.5099,0.5362,0.5540,0.5560,0.5460,0.5245,0.4967,0.4718,0.5234,0.5461,0.5542,0.5577,0.5615,0.5564,0.5056,0.4629,0.4170,0.3114,0.2000,0.2814,0.3276,0.5232,0.5661,0.1567,0.4687,0.4024,0.4718
Observer: 10 degrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,1.322e-001,1.130e+001,2.358e+001,3.644e+001,4.950e+001,6.282e+001,7.541e+001,8.888e+001,1.021e+002,1.163e+002,1.283e+002,1.232e-001,4.739e+000,9.879e+000,1.508e+001,2.025e+001,2.542e+001,3.028e+001,3.560e+001,4.106e+001,4.648e+001,5.162e+001,1.191e-001,4.340e+000,8.910e+000,1.379e+001,1.898e+001,2.458e+001,2.980e+001,3.534e+001,4.138e+001,4.855e+001,5.138e+001,1.264e-001,2.071e+000,4.166e+000,6.481e+000,8.910e+000,1.134e+001,1.365e+001,1.641e+001,1.889e+001,2.182e+001,2.513e+001,8.092e+001,8.493e+001,8.506e+001,8.232e+001,7.624e+001,6.780e+001,5.807e+001,4.934e+001,4.232e+001,3.943e+001,4.011e+001,4.367e+001,5.025e+001,5.869e+001,6.671e+001,7.543e+001,6.255e+001,5.151e+001,7.157e+001,9.474e+001,8.988e+001,6.831e+001,5.316e+001,6.304e+001,7.433e+001,5.860e+001,3.684e+001,3.308e+001,5.530e+001,7.590e+001,5.155e+001,5.143e+001,2.512e+001,1.281e+002,1.252e-001,6.256e+001
Y,1.183e-001,1.166e+001,2.422e+001,3.745e+001,5.106e+001,6.511e+001,7.845e+001,9.213e+001,1.060e+002,1.210e+002,1.313e+002,1.191e-001,2.547e+000,5.238e+000,7.951e+000,1.067e+001,1.340e+001,1.593e+001,1.871e+001,2.156e+001,2.439e+001,2.707e+001,1.066e-001,7.813e+000,1.615e+001,2.496e+001,3.427e+001,4.418e+001,5.352e+001,6.317e+001,7.355e+001,8.547e+001,9.007e+001,1.187e-001,1.100e+000,2.169e+000,3.350e+000,4.624e+000,5.924e+000,7.094e+000,8.616e+000,1.003e+001,1.173e+001,1.366e+001,6.600e+001,6.697e+001,6.716e+001,6.739e+001,6.721e+001,6.610e+001,6.446e+001,6.342e+001,6.127e+001,6.187e+001,6.265e+001,6.291e+001,6.369e+001,6.464e+001,6.447e+001,6.543e+001,6.488e+001,2.699e+001,6.365e+001,1.043e+002,1.107e+002,9.926e+001,9.104e+001,9.609e+001,1.024e+002,7.329e+001,3.465e+001,1.785e+001,2.945e+001,4.015e+001,2.703e+001,9.015e+001,1.370e+001,1.312e+002,1.106e-001,6.482e+001
Z,2.449e-001,1.226e+001,2.520e+001,3.920e+001,5.324e+001,6.799e+001,8.151e+001,9.686e+001,1.115e+002,1.258e+002,1.428e+002,2.248e-001,6.079e-001,9.909e-001,1.347e+000,1.617e+000,1.873e+000,2.090e+000,2.258e+000,2.391e+000,2.430e+000,2.427e+000,2.337e-001,1.328e+000,2.449e+000,3.646e+000,4.825e+000,6.061e+000,7.042e+000,8.039e+000,9.106e+000,1.003e+001,1.033e+001,2.283e-001,1.041e+001,2.128e+001,3.320e+001,4.558e+001,5.820e+001,7.055e+001,8.424e+001,9.755e+001,1.123e+002,1.292e+002,6.652e+001,9.189e+001,1.133e+002,1.310e+002,1.366e+002,1.303e+002,1.143e+002,9.208e+001,6.683e+001,4.254e+001,2.460e+001,1.186e+001,8.527e+000,1.255e+001,2.463e+001,4.345e+001,6.777e+001,2.373e+000,7.380e+000,1.161e+001,1.237e+001,1.164e+001,1.876e+001,7.064e+001,1.279e+002,1.385e+002,1.341e+002,1.297e+002,1.299e+002,1.299e+002,2.448e+000,1.027e+001,1.293e+002,1.421e+002,2.298e-001,6.769e+001
CCT,25226,6064,5950,5992,6007,6066,6075,6108,6131,6078,6192,18111,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48844,5704,5670,5645,5622,5595,5574,5544,5512,5455,5431,18388,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3356,4277,6865,12837,20788,23761,18866,13201,9691,7294,5912,4866,4141,3581,3230,3084,6076,N/A,2446,3420,3955,4706,5638,7389,10976,37235,N/A,N/A,N/A,N/A,N/A,5429,N/A,6173,24667,6062
MK -¹,39.6,164.9,168.1,166.9,166.5,164.9,164.6,163.7,163.1,164.5,161.5,55.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.5,175.3,176.4,177.1,177.9,178.7,179.4,180.4,181.4,183.3,184.1,54.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,298.0,233.8,145.7,77.9,48.1,42.1,53.0,75.8,103.2,137.1,169.1,205.5,241.5,279.3,309.6,324.3,164.6,N/A,408.9,292.4,252.9,212.5,177.4,135.3,91.1,26.9,N/A,N/A,N/A,N/A,N/A,184.2,N/A,162.0,40.5,165.0
u-v Dev,-0.0182,0.0003,-0.0005,-0.0003,0.0003,0.0010,0.0016,0.0010,0.0013,0.0016,-0.0013,-0.0066,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.0161,0.0879,0.0892,0.0891,0.0890,0.0886,0.0887,0.0883,0.0877,0.0869,0.0865,-0.0114,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.0346,-0.0463,-0.0470,-0.0371,-0.0215,-0.0041,0.0151,0.0347,0.0503,0.0628,0.0665,0.0613,0.0470,0.0276,0.0052,-0.0170,0.0011,N/A,0.0098,0.0309,0.0442,0.0644,0.0814,0.0587,0.0437,0.0341,N/A,N/A,N/A,N/A,N/A,0.0865,N/A,-0.0011,-0.0203,0.0010
x,0.2669,0.3208,0.3230,0.3222,0.3218,0.3206,0.3204,0.3199,0.3194,0.3203,0.3188,0.2638,0.6004,0.6133,0.6186,0.6223,0.6247,0.6268,0.6293,0.6316,0.6341,0.6364,0.2592,0.3220,0.3238,0.3253,0.3268,0.3285,0.3298,0.3317,0.3336,0.3371,0.3385,0.2671,0.1525,0.1509,0.1506,0.1507,0.1502,0.1495,0.1502,0.1494,0.1496,0.1496,0.3791,0.3484,0.3204,0.2933,0.2723,0.2566,0.2452,0.2409,0.2483,0.2741,0.3149,0.3687,0.4103,0.4319,0.4282,0.4092,0.3204,0.6369,0.5019,0.4497,0.4221,0.3812,0.3262,0.2744,0.2439,0.2167,0.1792,0.1832,0.2576,0.3086,0.6362,0.3387,0.1495,0.3191,0.2689,0.3207
y,0.2387,0.3311,0.3317,0.3312,0.3320,0.3324,0.3333,0.3316,0.3317,0.3332,0.3262,0.2550,0.3226,0.3252,0.3262,0.3280,0.3293,0.3299,0.3308,0.3316,0.3327,0.3337,0.2321,0.5796,0.5871,0.5887,0.5901,0.5905,0.5923,0.5929,0.5930,0.5933,0.5934,0.2507,0.0810,0.0785,0.0779,0.0782,0.0785,0.0777,0.0788,0.0793,0.0804,0.0813,0.3092,0.2747,0.2530,0.2401,0.2400,0.2502,0.2722,0.3096,0.3595,0.4302,0.4919,0.5312,0.5201,0.4757,0.4138,0.3550,0.3324,0.3337,0.4463,0.4952,0.5198,0.5539,0.5587,0.4182,0.3362,0.2711,0.1685,0.0988,0.1372,0.1632,0.3336,0.5937,0.0815,0.3268,0.2376,0.3323
u,0.2003,0.2027,0.2040,0.2036,0.2030,0.2021,0.2015,0.2018,0.2015,0.2015,0.2031,0.1907,0.4235,0.4322,0.4358,0.4374,0.4383,0.4395,0.4408,0.4419,0.4431,0.4441,0.1969,0.1383,0.1378,0.1382,0.1386,0.1393,0.1396,0.1404,0.1412,0.1427,0.1434,0.1951,0.1663,0.1657,0.1658,0.1658,0.1650,0.1646,0.1648,0.1636,0.1632,0.1627,0.2547,0.2488,0.2376,0.2216,0.2041,0.1870,0.1698,0.1546,0.1457,0.1440,0.1523,0.1707,0.1949,0.2202,0.2409,0.2541,0.2019,0.4446,0.2731,0.2237,0.2012,0.1716,0.1442,0.1469,0.1491,0.1490,0.1537,0.1919,0.2494,0.2843,0.4441,0.1434,0.1625,0.2031,0.2024,0.2022
v,0.2687,0.3138,0.3142,0.3139,0.3142,0.3142,0.3145,0.3138,0.3138,0.3145,0.3118,0.2765,0.3414,0.3438,0.3447,0.3458,0.3465,0.3469,0.3475,0.3481,0.3487,0.3493,0.2644,0.3735,0.3748,0.3752,0.3756,0.3758,0.3761,0.3764,0.3766,0.3769,0.3770,0.2748,0.1326,0.1294,0.1286,0.1290,0.1293,0.1283,0.1298,0.1302,0.1316,0.1327,0.3117,0.2943,0.2814,0.2721,0.2699,0.2735,0.2828,0.2980,0.3164,0.3390,0.3568,0.3690,0.3706,0.3638,0.3492,0.3307,0.3142,0.3494,0.3642,0.3694,0.3716,0.3741,0.3703,0.3359,0.3081,0.2795,0.2168,0.1552,0.1992,0.2256,0.3493,0.3771,0.1329,0.3121,0.2683,0.3142
u',0.2003,0.2027,0.2040,0.2036,0.2030,0.2021,0.2015,0.2018,0.2015,0.2015,0.2031,0.1907,0.4235,0.4322,0.4358,0.4374,0.4383,0.4395,0.4408,0.4419,0.4431,0.4441,0.1969,0.1383,0.1378,0.1382,0.1386,0.1393,0.1396,0.1404,0.1412,0.1427,0.1434,0.1951,0.1663,0.1657,0.1658,0.1658,0.1650,0.1646,0.1648,0.1636,0.1632,0.1627,0.2547,0.2488,0.2376,0.2216,0.2041,0.1870,0.1698,0.1546,0.1457,0.1440,0.1523,0.1707,0.1949,0.2202,0.2409,0.2541,0.2019,0.4446,0.2731,0.2237,0.2012,0.1716,0.1442,0.1469,0.1491,0.1490,0.1537,0.1919,0.2494,0.2843,0.4441,0.1434,0.1625,0.2031,0.2024,0.2022
v',0.4030,0.4706,0.4713,0.4709,0.4713,0.4713,0.4717,0.4707,0.4707,0.4717,0.4677,0.4148,0.5120,0.5157,0.5171,0.5187,0.5197,0.5204,0.5213,0.5221,0.5231,0.5240,0.3966,0.5602,0.5623,0.5628,0.5633,0.5636,0.5642,0.5646,0.5648,0.5653,0.5655,0.4121,0.1988,0.1942,0.1929,0.1936,0.1940,0.1925,0.1946,0.1954,0.1974,0.1991,0.4675,0.4415,0.4220,0.4081,0.4049,0.4102,0.4242,0.4470,0.4746,0.5085,0.5351,0.5535,0.5559,0.5458,0.5238,0.4960,0.4713,0.5241,0.5464,0.5541,0.5574,0.5611,0.5555,0.5039,0.4622,0.4192,0.3252,0.2328,0.2988,0.3384,0.5239,0.5656,0.1994,0.4681,0.4024,0.4713
