,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80
Observer: 2 degrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,1.201e-001,1.030e+001,2.151e+001,3.323e+001,4.511e+001,5.721e+001,6.864e+001,8.093e+001,9.287e+001,1.058e+002,1.168e+002,1.115e-001,4.619e+000,9.639e+000,1.472e+001,1.977e+001,2.483e+001,2.958e+001,3.479e+001,4.014e+001,4.546e+001,5.050e+001,1.083e-001,3.654e+000,7.491e+000,1.160e+001,1.596e+001,2.068e+001,2.507e+001,2.975e+001,3.484e+001,4.092e+001,4.332e+001,1.143e-001,1.890e+000,3.806e+000,5.922e+000,8.141e+000,1.036e+001,1.247e+001,1.500e+001,1.727e+001,1.994e+001,2.296e+001,7.589e+001,7.962e+001,7.948e+001,7.642e+001,7.007e+001,6.153e+001,5.182e+001,4.316e+001,3.643e+001,3.368e+001,3.453e+001,3.834e+001,4.511e+001,5.369e+001,6.186e+001,7.054e+001,5.697e+001,5.039e+001,6.722e+001,8.673e+001,8.091e+001,5.982e+001,4.494e+001,5.398e+001,6.429e+001,5.115e+001,3.281e+001,3.074e+001,5.247e+001,7.268e+001,5.043e+001,4.336e+001,2.296e+001,1.167e+002,1.136e-001,5.698e+001
Y,1.069e-001,1.082e+001,2.248e+001,3.477e+001,4.742e+001,6.047e+001,7.288e+001,8.557e+001,9.844e+001,1.125e+002,1.219e+002,1.080e-001,2.432e+000,5.011e+000,7.611e+000,1.022e+001,1.283e+001,1.527e+001,1.793e+001,2.067e+001,2.339e+001,2.597e+001,9.593e-002,7.471e+000,1.546e+001,2.390e+001,3.282e+001,4.235e+001,5.133e+001,6.062e+001,7.062e+001,8.216e+001,8.662e+001,1.079e-001,7.232e-001,1.398e+000,2.147e+000,2.971e+000,3.803e+000,4.523e+000,5.526e+000,6.436e+000,7.565e+000,8.849e+000,6.134e+001,6.143e+001,6.089e+001,6.050e+001,6.013e+001,5.930e+001,5.829e+001,5.806e+001,5.684e+001,5.822e+001,5.955e+001,6.022e+001,6.106e+001,6.183e+001,6.126e+001,6.157e+001,6.025e+001,2.590e+001,6.101e+001,1.002e+002,1.064e+002,9.544e+001,8.729e+001,9.045e+001,9.463e+001,6.598e+001,2.887e+001,1.285e+001,2.402e+001,3.430e+001,2.593e+001,8.671e+001,8.872e+000,1.218e+002,1.006e-001,6.019e+001
Z,2.235e-001,1.137e+001,2.338e+001,3.636e+001,4.938e+001,6.307e+001,7.563e+001,8.984e+001,1.034e+002,1.167e+002,1.323e+002,2.061e-001,5.541e-001,8.993e-001,1.220e+000,1.465e+000,1.704e+000,1.900e+000,2.054e+000,2.171e+000,2.217e+000,2.212e+000,2.136e-001,1.417e+000,2.661e+000,3.979e+000,5.292e+000,6.658e+000,7.787e+000,8.924e+000,1.012e+001,1.121e+001,1.156e+001,2.089e-001,9.472e+000,1.937e+001,3.021e+001,4.148e+001,5.299e+001,6.424e+001,7.672e+001,8.887e+001,1.024e+002,1.177e+002,6.145e+001,8.453e+001,1.040e+002,1.203e+002,1.255e+002,1.199e+002,1.053e+002,8.521e+001,6.225e+001,4.021e+001,2.389e+001,1.224e+001,9.116e+000,1.266e+001,2.350e+001,4.050e+001,6.287e+001,2.160e+000,7.691e+000,1.249e+001,1.343e+001,1.275e+001,1.923e+001,6.647e+001,1.187e+002,1.277e+002,1.228e+002,1.182e+002,1.184e+002,1.184e+002,2.232e+000,1.151e+001,1.178e+002,1.317e+002,2.091e-001,6.279e+001
CCT,26728,6256,6130,6177,6199,6267,6282,6311,6338,6293,6384,19298,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61212,6218,6184,6158,6133,6105,6084,6053,6022,5968,5946,19342,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3257,3949,6320,12729,22679,27435,21185,14365,10422,7857,6394,5283,4480,3831,3375,3113,6277,N/A,2543,3678,4292,5133,6154,7954,11824,54627,N/A,N/A,N/A,2251,N/A,5943,N/A,6367,24993,6263
MK -¹,37.4,159.8,163.1,161.9,161.3,159.6,159.2,158.4,157.8,158.9,156.6,51.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.3,160.8,161.7,162.4,163.1,163.8,164.4,165.2,166.0,167.6,168.2,51.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,307.0,253.2,158.2,78.6,44.1,36.4,47.2,69.6,95.9,127.3,156.4,189.3,223.2,261.0,296.3,321.2,159.3,N/A,393.3,271.9,233.0,194.8,162.5,125.7,84.6,18.3,N/A,N/A,N/A,444.2,N/A,168.3,N/A,157.1,40.0,159.7
u-v Dev,-0.0187,0.0032,0.0024,0.0025,0.0033,0.0041,0.0049,0.0042,0.0046,0.0051,0.0018,-0.0060,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.0174,0.1009,0.1022,0.1022,0.1022,0.1019,0.1020,0.1016,0.1012,0.1004,0.1000,-0.0102,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.0356,-0.0497,-0.0528,-0.0433,-0.0257,-0.0054,0.0176,0.0411,0.0598,0.0743,0.0781,0.0714,0.0547,0.0326,0.0080,-0.0162,0.0042,N/A,0.0108,0.0360,0.0518,0.0751,0.0949,0.0703,0.0524,0.0388,N/A,N/A,N/A,-0.1402,N/A,0.1001,N/A,0.0020,-0.0200,0.0041
x,0.2665,0.3169,0.3193,0.3184,0.3179,0.3165,0.3161,0.3157,0.3151,0.3158,0.3149,0.2619,0.6074,0.6199,0.6250,0.6285,0.6307,0.6328,0.6351,0.6373,0.6397,0.6418,0.2591,0.2914,0.2925,0.2938,0.2951,0.2967,0.2978,0.2996,0.3014,0.3047,0.3061,0.2651,0.1564,0.1549,0.1547,0.1548,0.1542,0.1536,0.1543,0.1534,0.1536,0.1535,0.3820,0.3530,0.3252,0.2971,0.2741,0.2556,0.2405,0.2315,0.2342,0.2549,0.2927,0.3460,0.3913,0.4189,0.4219,0.4087,0.3163,0.6424,0.4945,0.4349,0.4031,0.3561,0.2967,0.2559,0.2316,0.2089,0.1779,0.1900,0.2692,0.3224,0.6417,0.3063,0.1534,0.3152,0.2685,0.3166
y,0.2374,0.3331,0.3337,0.3332,0.3341,0.3345,0.3356,0.3338,0.3340,0.3358,0.3284,0.2537,0.3198,0.3223,0.3232,0.3249,0.3260,0.3266,0.3274,0.3282,0.3291,0.3300,0.2296,0.5957,0.6036,0.6054,0.6070,0.6077,0.6097,0.6105,0.6110,0.6118,0.6122,0.2503,0.0598,0.0569,0.0561,0.0565,0.0566,0.0557,0.0568,0.0572,0.0582,0.0592,0.3087,0.2723,0.2492,0.2352,0.2352,0.2464,0.2706,0.3114,0.3655,0.4407,0.5048,0.5435,0.5296,0.4824,0.4178,0.3567,0.3345,0.3301,0.4489,0.5024,0.5301,0.5681,0.5763,0.4289,0.3408,0.2695,0.1565,0.0794,0.1232,0.1522,0.3299,0.6125,0.0593,0.3290,0.2376,0.3345
u,0.2006,0.1992,0.2006,0.2002,0.1995,0.1984,0.1977,0.1981,0.1976,0.1975,0.1996,0.1898,0.4321,0.4406,0.4442,0.4455,0.4465,0.4477,0.4489,0.4500,0.4513,0.4522,0.1979,0.1218,0.1212,0.1215,0.1218,0.1224,0.1225,0.1232,0.1239,0.1253,0.1258,0.1938,0.1837,0.1837,0.1839,0.1838,0.1830,0.1827,0.1829,0.1816,0.1811,0.1805,0.2572,0.2538,0.2436,0.2273,0.2079,0.1878,0.1669,0.1476,0.1355,0.1311,0.1382,0.1567,0.1826,0.2108,0.2354,0.2529,0.1983,0.4527,0.2674,0.2132,0.1885,0.1564,0.1273,0.1341,0.1398,0.1437,0.1574,0.2127,0.2733,0.3084,0.4522,0.1258,0.1802,0.1995,0.2021,0.1985
