,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80
v,0.2730,0.3093,0.3132,0.3126,0.3126,0.3128,0.3130,0.3128,0.3116,0.3113,0.3180,0.2718,0.3402,0.3429,0.3441,0.3449,0.3457,0.3462,0.3464,0.3470,0.3473,0.3478,0.2747,0.3734,0.3746,0.3751,0.3754,0.3758,0.3760,0.3762,0.3763,0.3767,0.3773,0.2745,0.1063,0.1013,0.0998,0.0993,0.0996,0.1000,0.1009,0.1023,0.1012,0.1025,0.3079,0.2908,0.2774,0.2684,0.2683,0.2713,0.2828,0.2980,0.3146,0.3383,0.3558,0.3686,0.3708,0.3638,0.3484,0.3304,0.3129,0.3478,0.3641,0.3690,0.3724,0.3748,0.3710,0.3403,0.3156,0.2786,0.2081,0.1341,0.1899,0.2157,0.3478,0.3773,0.1018,0.3183,0.2688,0.3130
u',0.1744,0.2016,0.1988,0.1986,0.1982,0.1981,0.1975,0.1969,0.1965,0.1953,0.1895,0.1795,0.4319,0.4396,0.4419,0.4443,0.4462,0.4465,0.4475,0.4477,0.4490,0.4499,0.1818,0.1217,0.1216,0.1215,0.1217,0.1217,0.1223,0.1225,0.1231,0.1234,0.1256,0.1950,0.1850,0.1846,0.1839,0.1837,0.1823,0.1827,0.1826,0.1824,0.1816,0.1816,0.2506,0.2492,0.2396,0.2252,0.2098,0.1876,0.1671,0.1485,0.1357,0.1307,0.1384,0.1558,0.1785,0.2079,0.2279,0.2443,0.1982,0.4497,0.2593,0.2099,0.1783,0.1512,0.1270,0.1335,0.1382,0.1434,0.1577,0.2174,0.2769,0.3061,0.4500,0.1259,0.1813,0.1895,0.1956,0.1983
v',0.4096,0.4640,0.4698,0.4689,0.4689,0.4692,0.4695,0.4692,0.4674,0.4669,0.4770,0.4078,0.5103,0.5144,0.5162,0.5173,0.5186,0.5193,0.5197,0.5205,0.5209,0.5217,0.4121,0.5601,0.5620,0.5626,0.5632,0.5637,0.5641,0.5643,0.5644,0.5651,0.5660,0.4117,0.1594,0.1520,0.1497,0.1489,0.1494,0.1499,0.1513,0.1535,0.1518,0.1537,0.4618,0.4363,0.4162,0.4026,0.4025,0.4070,0.4241,0.4470,0.4719,0.5075,0.5338,0.5528,0.5562,0.5457,0.5225,0.4956,0.4693,0.5217,0.5462,0.5535,0.5586,0.5622,0.5565,0.5105,0.4735,0.4179,0.3121,0.2012,0.2849,0.3235,0.5217,0.5660,0.1528,0.4774,0.4033,0.4696
Observer: 10 degrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,1.242e-001,1.047e+001,2.183e+001,3.119e+001,4.285e+001,5.602e+001,6.668e+001,7.524e+001,8.388e+001,9.462e+001,1.129e+002,1.182e-001,4.372e+000,8.866e+000,1.246e+001,1.704e+001,2.233e+001,2.622e+001,2.942e+001,3.256e+001,3.617e+001,4.064e+001,1.270e-001,3.769e+000,8.180e+000,1.170e+001,1.620e+001,2.133e+001,2.591e+001,2.944e+001,3.301e+001,3.836e+001,5.144e+001,1.297e-001,2.021e+000,3.949e+000,5.648e+000,7.809e+000,1.019e+001,1.225e+001,1.413e+001,1.613e+001,1.865e+001,2.074e+001,6.659e+001,6.931e+001,6.976e+001,6.855e+001,6.525e+001,5.824e+001,5.050e+001,4.314e+001,3.707e+001,3.357e+001,3.472e+001,3.780e+001,4.292e+001,5.057e+001,5.595e+001,6.107e+001,5.499e+001,4.049e+001,5.761e+001,7.495e+001,8.218e+001,6.515e+001,5.287e+001,6.170e+001,7.051e+001,4.910e+001,3.079e+001,2.790e+001,4.687e+001,6.120e+001,4.040e+001,5.135e+001,2.057e+001,1.120e+002,1.306e-001,5.482e+001
Y,1.303e-001,1.057e+001,2.252e+001,3.215e+001,4.425e+001,5.790e+001,6.913e+001,7.815e+001,8.702e+001,9.859e+001,1.226e+002,1.208e-001,2.344e+000,4.703e+000,6.598e+000,8.990e+000,1.176e+001,1.382e+001,1.548e+001,1.715e+001,1.901e+001,2.135e+001,1.271e-001,6.789e+000,1.478e+001,2.117e+001,2.927e+001,3.853e+001,4.660e+001,5.288e+001,5.902e+001,6.847e+001,9.031e+001,1.228e-001,1.071e+000,2.047e+000,2.917e+000,4.027e+000,5.311e+000,6.386e+000,7.411e+000,8.547e+000,9.876e+000,1.106e+001,5.506e+001,5.515e+001,5.553e+001,5.630e+001,5.713e+001,5.678e+001,5.616e+001,5.521e+001,5.333e+001,5.264e+001,5.399e+001,5.469e+001,5.550e+001,5.635e+001,5.551e+001,5.459e+001,5.683e+001,2.128e+001,5.269e+001,8.368e+001,1.064e+002,9.752e+001,9.078e+001,9.507e+001,9.975e+001,6.160e+001,2.891e+001,1.476e+001,2.481e+001,3.225e+001,2.122e+001,8.997e+001,1.095e+001,1.217e+002,1.218e-001,5.666e+001
Z,2.537e-001,1.204e+001,2.407e+001,3.475e+001,4.786e+001,6.242e+001,7.436e+001,8.437e+001,9.604e+001,1.096e+002,1.220e+002,2.375e-001,6.001e-001,9.466e-001,1.182e+000,1.476e+000,1.735e+000,1.924e+000,2.079e+000,2.153e+000,2.257e+000,2.328e+000,2.447e-001,1.178e+000,2.305e+000,3.178e+000,4.234e+000,5.399e+000,6.317e+000,7.029e+000,7.774e+000,8.561e+000,1.042e+001,2.329e-001,1.006e+001,2.007e+001,2.897e+001,4.018e+001,5.274e+001,6.320e+001,7.270e+001,8.267e+001,9.637e+001,1.067e+002,6.025e+001,7.951e+001,9.722e+001,1.118e+002,1.149e+002,1.123e+002,9.806e+001,7.987e+001,6.055e+001,3.762e+001,2.257e+001,1.097e+001,7.602e+000,1.135e+001,2.291e+001,3.759e+001,6.114e+001,2.337e+000,6.674e+000,1.024e+001,1.233e+001,1.144e+001,1.865e+001,6.468e+001,1.112e+002,1.156e+002,1.115e+002,1.067e+002,1.072e+002,1.075e+002,2.317e+000,1.031e+001,1.062e+002,1.204e+002,2.464e-001,6.077e+001
CCT,27379,6354,6161,6229,6255,6242,6260,6303,6438,6542,6258,27066,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22096,5718,5671,5657,5636,5621,5591,5579,5559,5530,5440,17530,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3751,4840,7928,14393,19082,24234,17815,13029,10099,7443,5987,4919,4241,3655,3446,3345,6227,N/A,2576,3507,4195,4830,5646,7153,9715,35383,N/A,N/A,N/A,N/A,N/A,5430,N/A,6230,24635,6206
MK -¹,36.5,157.4,162.3,160.5,159.9,160.2,159.8,158.6,155.3,152.9,159.8,36.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45.3,174.9,176.3,176.8,177.4,177.9,178.8,179.2,179.9,180.8,183.8,57.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,266.6,206.6,126.1,69.5,52.4,41.3,56.1,76.8,99.0,134.4,167.0,203.3,235.8,273.6,290.2,299.0,160.6,N/A,388.2,285.1,238.4,207.0,177.1,139.8,102.9,28.3,N/A,N/A,N/A,N/A,N/A,184.2,N/A,160.5,40.6,161.1
u-v Dev,0.0080,-0.0038,0.0001,-0.0001,0.0002,0.0004,0.0009,0.0012,0.0009,0.0016,0.0087,0.0039,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.0002,0.0879,0.0887,0.0890,0.0890,0.0891,0.0887,0.0887,0.0882,0.0882,0.0866,-0.0103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.0349,-0.0455,-0.0450,-0.0359,-0.0230,-0.0040,0.0152,0.0341,0.0494,0.0624,0.0655,0.0615,0.0494,0.0288,0.0072,-0.0144,0.0004,N/A,0.0114,0.0321,0.0502,0.0680,0.0818,0.0606,0.0472,0.0344,N/A,N/A,N/A,N/A,N/A,0.0864,N/A,0.0088,-0.0112,0.0004
x,0.2444,0.3166,0.3191,0.3180,0.3175,0.3177,0.3173,0.3164,0.3142,0.3124,0.3158,0.2480,0.5976,0.6108,0.6157,0.6194,0.6233,0.6248,0.6262,0.6278,0.6297,0.6318,0.2547,0.3212,0.3238,0.3247,0.3259,0.3268,0.3287,0.3295,0.3307,0.3325,0.3380,0.2673,0.1537,0.1515,0.1505,0.1501,0.1493,0.1497,0.1499,0.1503,0.1493,0.1497,0.3661,0.3398,0.3135,0.2896,0.2749,0.2562,0.2467,0.2420,0.2456,0.2711,0.3120,0.3654,0.4048,0.4276,0.4164,0.3985,0.3179,0.6316,0.4925,0.4439,0.4091,0.3742,0.3257,0.2786,0.2505,0.2170,0.1798,0.1868,0.2620,0.3045,0.6319,0.3386,0.1494,0.3163,0.2618,0.3183
y,0.2564,0.3195,0.3291,0.3277,0.3279,0.3283,0.3289,0.3287,0.3260,0.3255,0.3430,0.2536,0.3204,0.3240,0.3259,0.3269,0.3283,0.3293,0.3295,0.3306,0.3310,0.3320,0.2548,0.5785,0.5850,0.5872,0.5889,0.5904,0.5912,0.5919,0.5914,0.5933,0.5935,0.2529,0.0814,0.0785,0.0777,0.0774,0.0778,0.0780,0.0786,0.0796,0.0791,0.0799,0.3027,0.2704,0.2495,0.2379,0.2407,0.2498,0.2743,0.3098,0.3533,0.4251,0.4852,0.5286,0.5235,0.4765,0.4131,0.3562,0.3286,0.3320,0.4504,0.4955,0.5295,0.5601,0.5594,0.4293,0.3544,0.2722,0.1688,0.0988,0.1387,0.1605,0.3319,0.5933,0.0795,0.3437,0.2442,0.3289
u,0.1750,0.2042,0.2022,0.2020,0.2016,0.2015,0.2010,0.2005,0.2000,0.1989,0.1948,0.1789,0.4231,0.4311,0.4336,0.4359,0.4380,0.4383,0.4393,0.4397,0.4409,0.4418,0.1836,0.1381,0.1382,0.1382,0.1385,0.1386,0.1393,0.1396,0.1402,0.1406,0.1431,0.1944,0.1675,0.1665,0.1658,0.1655,0.1643,0.1646,0.1646,0.1645,0.1636,0.1637,0.2482,0.2443,0.2336,0.2196,0.2060,0.1869,0.1702,0.1553,0.1456,0.1435,0.1522,0.1697,0.1911,0.2175,0.2338,0.2461,0.2016,0.4416,0.2655,0.2203,0.1917,0.1668,0.1438,0.1467,0.1484,0.1488,0.1541,0.1960,0.2531,0.2822,0.4420,0.1435,0.1634,0.1949,0.1937,0.2017
v,0.2753,0.3091,0.3129,0.3123,0.3123,0.3125,0.3126,0.3125,0.3113,0.3109,0.3174,0.2743,0.3403,0.3431,0.3443,0.3451,0.3460,0.3465,0.3468,0.3473,0.3477,0.3482,0.2755,0.3732,0.3745,0.3749,0.3753,0.3756,0.3759,0.3760,0.3761,0.3765,0.3770,0.2759,0.1331,0.1295,0.1284,0.1280,0.1285,0.1287,0.1295,0.1307,0.1300,0.1310,0.3078,0.2915,0.2790,0.2706,0.2705,0.2733,0.2839,0.2982,0.3141,0.3374,0.3551,0.3683,0.3707,0.3636,0.3479,0.3299,0.3126,0.3482,0.3642,0.3689,0.3722,0.3745,0.3704,0.3392,0.3149,0.2800,0.2171,0.1556,0.2010,0.2230,0.3482,0.3770,0.1306,0.3177,0.2710,0.3127
u',0.1750,0.2042,0.2022,0.2020,0.2016,0.2015,0.2010,0.2005,0.2000,0.1989,0.1948,0.1789,0.4231,0.4311,0.4336,0.4359,0.4380,0.4383,0.4393,0.4397,0.4409,0.4418,0.1836,0.1381,0.1382,0.1382,0.1385,0.1386,0.1393,0.1396,0.1402,0.1406,0.1431,0.1944,0.1675,0.1665,0.1658,0.1655,0.1643,0.1646,0.1646,0.1645,0.1636,0.1637,0.2482,0.2443,0.2336,0.2196,0.2060,0.1869,0.1702,0.1553,0.1456,0.1435,0.1522,0.1697,0.1911,0.2175,0.2338,0.2461,0.2016,0.4416,0.2655,0.2203,0.1917,0.1668,0.1438,0.1467,0.1484,0.1488,0.1541,0.1960,0.2531,0.2822,0.4420,0.1435,0.1634,0.1949,0.1937,0.2017
v',0.4130,0.4637,0.4693,0.4684,0.4684,0.4687,0.4690,0.4687,0.4669,0.4664,0.4761,0.4114,0.5104,0.5146,0.5165,0.5176,0.5190,0.5198,0.5201,0.5210,0.5215,0.5223,0.4133,0.5598,0.5617,0.5624,0.5629,0.5634,0.5638,0.5641,0.5641,0.5648,0.5655,0.4138,0.1997,0.1942,0.1926,0.1920,0.1927,0.1931,0.1942,0.1961,0.1950,0.1965,0.4617,0.4373,0.4184,0.4058,0.4058,0.4099,0.4258,0.4473,0.4712,0.5061,0.5326,0.5524,0.5561,0.5454,0.5219,0.4949,0.4689,0.5223,0.5463,0.5534,0.5583,0.5618,0.5556,0.5088,0.4724,0.4201,0.3256,0.2333,0.3015,0.3346,0.5223,0.5655,0.1958,0.4765,0.4064,0.4691
