,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80
380,0.000e+000,1.732e-006,4.562e-006,5.313e-006,1.029e-005,9.125e-006,1.654e-005,1.575e-005,1.286e-005,2.065e-005,2.139e-005,0.000e+000,0.000e+000,1.946e-007,5.761e-007,1.254e-006,2.001e-006,2.456e-006,3.351e-006,4.387e-006,7.042e-006,2.446e-006,1.436e-007,0.000e+000,1.615e-006,1.951e-006,1.209e-007,2.659e-006,3.410e-006,5.218e-006,2.193e-006,7.700e-006,4.128e-006,0.000e+000,0.000e+000,1.444e-006,2.895e-006,2.611e-006,3.797e-006,9.956e-006,1.313e-005,7.850e-006,6.439e-007,1.073e-005,6.782e-006,1.757e-005,1.039e-005,1.791e-005,1.633e-005,1.009e-005,1.616e-005,5.113e-006,7.278e-006,7.769e-006,5.740e-006,3.373e-006,3.932e-006,7.336e-006,6.273e-006,9.434e-006,1.061e-005,3.569e-006,7.297e-006,1.125e-005,1.051e-005,9.463e-006,8.599e-006,1.569e-005,1.753e-005,1.235e-005,1.039e-005,1.119e-005,1.559e-005,1.658e-005,4.481e-006,8.593e-006,1.320e-005,1.332e-005,0.000e+000,7.519e-006
384,0.000e+000,8.821e-007,3.890e-006,5.111e-006,8.833e-006,8.525e-006,1.205e-005,1.472e-005,1.100e-005,1.718e-005,2.133e-005,0.000e+000,0.000e+000,2.974e-007,8.883e-007,1.292e-006,2.570e-006,2.389e-006,3.500e-006,3.283e-006,5.070e-006,3.352e-006,4.351e-008,0.000e+000,1.364e-006,1.534e-006,2.878e-007,2.632e-006,3.638e-006,4.902e-006,5.110e-006,6.002e-006,3.045e-006,0.000e+000,1.572e-007,7.073e-007,1.670e-006,3.594e-006,4.325e-006,6.243e-006,1.177e-005,7.895e-006,3.179e-006,1.269e-005,6.017e-006,1.391e-005,7.642e-006,1.287e-005,1.193e-005,1.233e-005,1.371e-005,5.564e-006,4.133e-006,6.357e-006,4.799e-006,2.261e-006,5.512e-006,5.994e-006,5.431e-006,7.799e-006,9.760e-006,2.005e-006,6.812e-006,8.956e-006,7.261e-006,1.056e-005,3.529e-006,1.052e-005,1.402e-005,1.101e-005,9.149e-006,7.314e-006,1.031e-005,1.401e-005,3.533e-006,6.582e-006,1.030e-005,1.343e-005,0.000e+000,6.771e-006
388,0.000e+000,1.393e-006,3.938e-006,4.128e-006,7.562e-006,7.871e-006,1.209e-005,1.224e-005,9.918e-006,1.751e-005,2.059e-005,0.000e+000,4.584e-008,5.734e-007,3.716e-007,1.075e-006,2.200e-006,1.147e-006,2.259e-006,2.723e-006,3.256e-006,2.726e-006,3.326e-007,0.000e+000,1.616e-006,1.642e-006,7.383e-007,1.900e-006,2.876e-006,3.453e-006,4.398e-006,3.169e-006,2.325e-006,0.000e+000,2.560e-007,1.888e-006,3.384e-006,2.604e-006,3.221e-006,7.101e-006,1.087e-005,6.174e-006,3.514e-006,1.150e-005,5.936e-006,1.374e-005,9.341e-006,1.528e-005,9.111e-006,9.928e-006,1.276e-005,6.539e-006,5.767e-006,6.522e-006,5.339e-006,2.985e-006,3.164e-006,5.193e-006,5.163e-006,5.260e-006,8.570e-006,1.542e-006,5.659e-006,8.091e-006,7.556e-006,1.027e-005,4.008e-006,1.085e-005,1.585e-005,1.170e-005,1.259e-005,7.695e-006,1.098e-005,1.457e-005,2.822e-006,5.849e-006,9.326e-006,1.319e-005,0.000e+000,7.171e-006
392,0.000e+000,1.082e-006,4.244e-006,4.683e-006,7.442e-006,7.665e-006,1.100e-005,1.323e-005,1.242e-005,1.859e-005,1.952e-005,0.000e+000,9.967e-008,4.103e-007,5.116e-007,8.228e-007,2.001e-006,7.508e-007,1.920e-006,2.635e-006,2.665e-006,2.357e-006,3.531e-007,0.000e+000,1.598e-006,1.801e-006,7.821e-007,1.388e-006,2.942e-006,2.942e-006,3.008e-006,3.052e-006,2.158e-006,0.000e+000,5.786e-007,1.898e-006,2.908e-006,3.243e-006,3.416e-006,7.215e-006,1.038e-005,7.153e-006,6.468e-006,1.236e-005,6.914e-006,1.322e-005,9.492e-006,1.447e-005,1.314e-005,1.204e-005,1.458e-005,7.605e-006,6.049e-006,6.468e-006,5.651e-006,1.908e-006,3.660e-006,4.924e-006,5.499e-006,6.422e-006,9.611e-006,1.776e-006,5.531e-006,7.279e-006,5.784e-006,8.022e-006,3.424e-006,1.157e-005,1.436e-005,1.138e-005,1.029e-005,7.641e-006,1.440e-005,1.756e-005,2.524e-006,5.694e-006,9.562e-006,1.442e-005,0.000e+000,5.971e-006
396,0.000e+000,1.167e-006,3.842e-006,5.662e-006,7.901e-006,7.956e-006,1.216e-005,1.463e-005,1.202e-005,1.688e-005,1.884e-005,0.000e+000,0.000e+000,4.042e-007,5.618e-007,6.472e-007,1.255e-006,9.683e-007,1.882e-006,1.877e-006,2.906e-006,2.536e-006,3.072e-007,0.000e+000,9.911e-007,1.871e-006,8.869e-007,1.610e-006,2.742e-006,2.643e-006,3.479e-006,2.799e-006,4.460e-006,0.000e+000,7.813e-007,1.782e-006,2.721e-006,3.484e-006,4.536e-006,6.648e-006,1.136e-005,8.593e-006,6.528e-006,1.262e-005,7.659e-006,1.364e-005,1.066e-005,1.400e-005,1.144e-005,1.181e-005,1.389e-005,8.763e-006,7.123e-006,6.460e-006,5.481e-006,2.671e-006,3.585e-006,5.240e-006,5.475e-006,6.798e-006,9.106e-006,1.629e-006,5.704e-006,6.504e-006,6.468e-006,8.531e-006,3.407e-006,1.183e-005,1.406e-005,1.167e-005,1.082e-005,1.116e-005,1.415e-005,1.542e-005,2.549e-006,5.180e-006,1.001e-005,1.523e-005,0.000e+000,6.144e-006
400,0.000e+000,1.590e-006,3.896e-006,5.857e-006,7.526e-006,9.366e-006,1.250e-005,1.618e-005,1.190e-005,1.611e-005,1.882e-005,0.000e+000,1.899e-007,5.617e-007,5.077e-007,9.599e-007,1.284e-006,8.013e-007,1.825e-006,2.255e-006,2.777e-006,2.003e-006,2.876e-007,0.000e+000,1.064e-006,1.430e-006,1.194e-006,1.623e-006,2.456e-006,2.744e-006,3.211e-006,1.854e-006,3.454e-006,0.000e+000,8.483e-007,2.278e-006,3.209e-006,3.854e-006,5.001e-006,7.365e-006,1.241e-005,7.575e-006,8.863e-006,1.436e-005,8.684e-006,1.502e-005,1.146e-005,1.282e-005,1.403e-005,1.321e-005,1.511e-005,1.023e-005,7.499e-006,7.242e-006,5.536e-006,3.475e-006,2.725e-006,5.704e-006,5.656e-006,7.475e-006,9.765e-006,1.882e-006,5.083e-006,6.500e-006,7.057e-006,7.638e-006,1.330e-006,1.068e-005,1.637e-005,1.319e-005,1.416e-005,1.374e-005,1.620e-005,1.722e-005,2.398e-006,5.667e-006,1.232e-005,1.776e-005,0.000e+000,6.555e-006
404,0.000e+000,1.469e-006,4.246e-006,6.526e-006,7.981e-006,1.035e-005,1.474e-005,1.581e-005,1.441e-005,2.134e-005,2.031e-005,0.000e+000,5.563e-008,5.818e-007,5.331e-007,1.021e-006,1.777e-006,8.018e-007,2.666e-006,2.311e-006,2.114e-006,1.826e-006,1.899e-007,0.000e+000,1.306e-006,1.851e-006,8.681e-007,2.034e-006,2.030e-006,3.459e-006,4.170e-006,8.936e-007,3.933e-006,0.000e+000,8.737e-007,2.669e-006,3.678e-006,4.937e-006,6.139e-006,9.188e-006,1.152e-005,9.906e-006,1.068e-005,1.393e-005,8.948e-006,1.576e-005,1.413e-005,1.649e-005,1.520e-005,1.756e-005,1.842e-005,1.156e-005,8.533e-006,8.307e-006,6.093e-006,3.590e-006,2.816e-006,4.657e-006,6.508e-006,7.786e-006,1.182e-005,1.829e-006,5.311e-006,6.131e-006,6.032e-006,7.736e-006,2.304e-006,1.217e-005,1.818e-005,1.793e-005,1.598e-005,1.478e-005,1.811e-005,2.040e-005,2.102e-006,5.330e-006,1.586e-005,2.113e-005,0.000e+000,9.210e-006
408,0.000e+000,2.400e-006,5.454e-006,8.475e-006,1.010e-005,1.406e-005,1.785e-005,2.085e-005,2.065e-005,2.630e-005,2.482e-005,0.000e+000,1.355e-007,9.180e-007,9.858e-007,1.694e-006,1.724e-006,1.307e-006,2.445e-006,2.364e-006,2.633e-006,2.587e-006,1.460e-007,0.000e+000,1.531e-006,2.019e-006,1.275e-006,2.458e-006,2.777e-006,3.030e-006,4.673e-006,1.801e-006,3.146e-006,0.000e+000,1.733e-006,3.575e-006,5.288e-006,7.055e-006,8.090e-006,1.173e-005,1.634e-005,1.474e-005,1.623e-005,2.089e-005,1.448e-005,2.016e-005,1.915e-005,2.239e-005,2.328e-005,2.259e-005,2.008e-005,1.551e-005,1.212e-005,9.479e-006,6.290e-006,4.484e-006,3.773e-006,5.637e-006,6.793e-006,9.294e-006,1.424e-005,1.454e-006,4.494e-006,6.619e-006,6.399e-006,6.591e-006,4.033e-006,1.338e-005,2.159e-005,2.209e-005,2.204e-005,1.809e-005,2.274e-005,2.539e-005,2.482e-006,3.353e-006,2.123e-005,2.697e-005,0.000e+000,1.122e-005
412,0.000e+000,4.192e-006,8.855e-006,1.338e-005,1.636e-005,2.216e-005,2.686e-005,3.078e-005,3.156e-005,3.899e-005,3.999e-005,0.000e+000,4.372e-007,1.091e-006,1.269e-006,1.833e-006,2.419e-006,2.069e-006,2.875e-006,3.096e-006,3.134e-006,2.494e-006,0.000e+000,0.000e+000,1.359e-006,1.683e-006,1.198e-006,2.221e-006,2.413e-006,3.076e-006,3.379e-006,5.696e-007,4.205e-006,0.000e+000,3.158e-006,6.488e-006,9.135e-006,1.260e-005,1.668e-005,2.022e-005,2.460e-005,2.584e-005,2.899e-005,3.425e-005,2.083e-005,3.065e-005,3.109e-005,3.682e-005,3.620e-005,3.549e-005,3.428e-005,2.499e-005,1.892e-005,1.327e-005,8.174e-006,5.034e-006,3.613e-006,5.847e-006,9.704e-006,1.491e-005,2.124e-005,2.690e-006,5.122e-006,7.022e-006,7.125e-006,7.788e-006,5.023e-006,2.120e-005,3.561e-005,3.550e-005,3.642e-005,3.313e-005,3.695e-005,3.970e-005,2.935e-006,3.504e-006,3.371e-005,4.131e-005,0.000e+000,1.994e-005
416,0.000e+000,7.893e-006,1.594e-005,2.422e-005,3.089e-005,4.066e-005,4.895e-005,5.653e-005,5.940e-005,7.000e-005,7.520e-005,0.000e+000,7.913e-007,1.758e-006,2.200e-006,3.337e-006,3.746e-006,3.480e-006,4.873e-006,4.356e-006,4.781e-006,5.003e-006,1.230e-007,7.031e-008,1.366e-006,2.027e-006,1.856e-006,2.245e-006,1.737e-006,3.150e-006,4.154e-006,8.831e-007,4.580e-006,0.000e+000,6.386e-006,1.311e-005,1.861e-005,2.524e-005,3.331e-005,3.993e-005,4.749e-005,5.053e-005,5.834e-005,6.449e-005,4.070e-005,5.537e-005,6.143e-005,6.903e-005,7.093e-005,6.796e-005,6.196e-005,4.975e-005,3.642e-005,2.364e-005,1.385e-005,6.784e-006,5.596e-006,8.995e-006,1.715e-005,2.665e-005,3.991e-005,4.192e-006,7.573e-006,8.694e-006,9.039e-006,8.376e-006,7.170e-006,3.880e-005,6.684e-005,6.773e-005,6.827e-005,6.576e-005,6.890e-005,7.242e-005,4.489e-006,4.459e-006,6.509e-005,7.421e-005,0.000e+000,3.860e-005
